circuitId,name,count,total,circuit_danger
76,Autodromo Internazionale del Mugello,6,1,6.0
35,Korean International Circuit,13,4,3.25
6,Circuit de Monaco,36,14,2.57143
15,Marina Bay Street Circuit,28,13,2.15385
1,Albert Park Grand Prix Circuit,24,13,1.84615
71,Sochi Autodrom,14,8,1.75
7,Circuit Gilles Villeneuve,22,13,1.69231
12,Valencia Street Circuit,5,3,1.66667
68,Buddh International Circuit,5,3,1.66667
18,Autódromo José Carlos Pace,23,14,1.64286
77,Jeddah Corniche Circuit,6,4,1.5
73,Baku City Circuit,12,8,1.5
10,Hockenheimring,8,6,1.33333
13,Circuit de Spa-Francorchamps,20,15,1.33333
9,Silverstone Circuit,21,16,1.3125
21,Autodromo Enzo e Dino Ferrari,5,4,1.25
22,Suzuka Circuit,15,13,1.15385
4,Circuit de Barcelona-Catalunya,15,15,1.0
78,Losail International Circuit,3,3,1.0
79,Miami International Autodrome,3,3,1.0
32,Autódromo Hermanos Rodríguez,8,9,0.88889
17,Shanghai International Circuit,9,11,0.81818
24,Yas Marina Circuit,12,15,0.8
11,Hungaroring,12,15,0.8
2,Sepang International Circuit,6,8,0.75
34,Circuit Paul Ricard,3,4,0.75
3,Bahrain International Circuit,10,15,0.66667
69,Circuit of the Americas,8,12,0.66667
20,Nürburgring,2,3,0.66667
14,Autodromo Nazionale di Monza,10,15,0.66667
39,Circuit Park Zandvoort,2,4,0.5
80,Las Vegas Strip Street Circuit,1,2,0.5
70,Red Bull Ring,5,13,0.38462
5,Istanbul Park,1,4,0.25
