circuitRef,name,race_count,lat,lng
silverstone,Silverstone Circuit,16,52.0786,-1.01694
bahrain,Bahrain International Circuit,15,26.0325,50.5106
yas_marina,Yas Marina Circuit,15,24.4672,54.6031
monza,Autodromo Nazionale di Monza,15,45.6156,9.28111
spa,Circuit de Spa-Francorchamps,15,50.4372,5.97139
catalunya,Circuit de Barcelona-Catalunya,15,41.57,2.26111
hungaroring,Hungaroring,15,47.5789,19.2486
interlagos,Autódromo José Carlos Pace,14,-23.7036,-46.6997
monaco,Circuit de Monaco,14,43.7347,7.42056
marina_bay,Marina Bay Street Circuit,13,1.2914,103.864
suzuka,Suzuka Circuit,13,34.8431,136.541
villeneuve,Circuit Gilles Villeneuve,13,45.5,-73.5228
albert_park,Albert Park Grand Prix Circuit,13,-37.8497,144.968
red_bull_ring,Red Bull Ring,13,47.2197,14.7647
americas,Circuit of the Americas,12,30.1328,-97.6411
shanghai,Shanghai International Circuit,11,31.3389,121.22
rodriguez,Autódromo Hermanos Rodríguez,9,19.4042,-99.0907
sepang,Sepang International Circuit,8,2.76083,101.738
sochi,Sochi Autodrom,8,43.4057,39.9578
baku,Baku City Circuit,8,40.3725,49.8533
hockenheimring,Hockenheimring,6,49.3278,8.56583
istanbul,Istanbul Park,4,40.9517,29.405
yeongam,Korean International Circuit,4,34.7333,126.417
ricard,Circuit Paul Ricard,4,43.2506,5.79167
imola,Autodromo Enzo e Dino Ferrari,4,44.3439,11.7167
zandvoort,Circuit Park Zandvoort,4,52.3888,4.54092
jeddah,Jeddah Corniche Circuit,4,21.6319,39.1044
valencia,Valencia Street Circuit,3,39.4589,-0.331667
nurburgring,Nürburgring,3,50.3356,6.9475
buddh,Buddh International Circuit,3,28.3487,77.5331
losail,Losail International Circuit,3,25.49,51.4542
miami,Miami International Autodrome,3,25.9581,-80.2389
portimao,Autódromo Internacional do Algarve,2,37.227,-8.6267
vegas,Las Vegas Strip Street Circuit,2,36.1147,-115.173
mugello,Autodromo Internazionale del Mugello,1,43.9975,11.3719
